theta0,theta1
8488.155568261811,-0.021359408493403686
8488.516965951412,-0.0213622293889699
8488.866950904274,-0.02136496160850276
8489.205883528133,-0.021367607929430935
8489.534112849537,-0.021370171042765382
8489.85197687282,-0.021372653555757033
8490.159802928029,-0.021375057994468254
8490.457908008675,-0.021377386806278022
8490.746599097773,-0.02137964236230246
8491.026173483973,-0.021381826959746893
8491.296919067623,-0.021383942824181674
8491.559114657206,-0.021385992111756503
8491.813030256957,-0.021387976911343608
8492.05892734416,-0.021389899246616252
8492.297059139119,-0.021391761078063863
8492.527670865304,-0.021393564304945913
8492.751000002288,-0.021395310767188556
8492.967276530138,-0.021397002247223657
8493.176723166365,-0.021398640471766428
8493.379555595155,-0.021400227113544206
8493.57598268937,-0.021401763792970138
8493.766206725988,-0.02140325207976975
8493.95042359414,-0.021404693494550823
8494.128822996692,-0.02140608951032875
8494.301588646083,-0.02140744155400942
8494.468898452933,-0.021408751007815825
8494.630924709874,-0.02141001921068478
8494.787834268314,-0.021411247459607638
8494.93978871086,-0.021412437010940814
8495.086944517136,-0.021413589081665737
8495.229453225475,-0.02141470485062042
8495.367461588708,-0.02141578545968485
8495.501111725112,-0.021416832014931782
8495.6305412651,-0.021417845587747036
8495.755883492673,-0.021418827215906416
8495.877267483029,-0.021419777904630698
8495.994818234896,-0.02142069862759289
8496.108656799888,-0.021421590327914172
8496.218900406677,-0.021422453919106074
8496.325662582218,-0.0214232902860076
8496.429053268044,-0.021424100285668855
8496.529178933984,-0.021424884748229994
8496.626142687493,-0.02142564447775712
8496.720044379957,-0.021426380253056432
8496.810980709593,-0.021427092828469215
8496.899045320914,-0.021427782934633648
8496.984328901091,-0.0214284512792286
8497.066919273553,-0.021429098547689072
8497.14690148832,-0.021429725403907078
8497.224357909638,-0.021430332490903477
8497.299368300473,-0.02143092043148164
8497.372009905257,-0.021431489828862213
8497.44235752887,-0.02143204126729618
8497.510483613933,-0.02143257531265895
8497.576458315407,-0.02143309251302817
8497.640349572834,-0.021433593399239392
8497.702223180167,-0.02143407848542651
8497.762142853711,-0.021434548269550487
8497.820170297442,-0.021435003233898183
8497.876365266988,-0.021435443845583026
8497.9307856309,-0.021435870557017875
8497.983487430154,-0.021436283806370804
8498.034524936189,-0.021436684018023254
8498.083950706347,-0.021437071602994323
8498.131815638335,-0.021437446959363404
8498.178169022625,-0.021437810472675827
8498.223058592983,-0.021438162516336838
8498.266530575944,-0.021438503451995217
8498.30862973809,-0.02143883362990872
8498.349399432194,-0.02143915338930189
8498.388881642153,-0.021439463058717873
8498.427117026205,-0.021439762956351752
8498.464144958109,-0.021440053390370518
8498.500003568852,-0.021440334659238336
8498.534729784687,-0.021440607052012582
8498.568359366025,-0.021440870848644013
8498.600926944091,-0.021441126320264993
8498.632466056371,-0.021441373729460263
8498.663009181102,-0.021441613330543986
8498.692587771011,-0.02144184536981206
8498.721232285743,-0.021442070085802428
8498.748972222696,-0.02144228770952968
8498.775836147946,-0.021442498464730824
8498.801851725542,-0.021442702568089438
8498.827045745762,-0.021442900229458897
8498.85144415292,-0.02144309165207833
8498.875072072082,-0.021443277032778596
8498.897953834852,-0.021443456562184313
8498.920113004311,-0.02144363042491205
8498.941572399586,-0.02144379879975613
8498.962354119247,-0.021443961859874502
8498.98247956376,-0.02144411977296379
8499.001969458088,-0.021444272701434546
